name,isin,url,keyword
GSI Global Aware Focused Value B Acc GBP,IE000AYHQP03,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=7Jsjuj8AvnQ%3D&Isin=IE000AYHQP03&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D41,Invest in this fund within a SIPP or Investment Account
HSBC Developed World Lower Carbon ESG Tilt Equity Index C Inc,GB00BN71RY93,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=rtr5XwTR63Q%3D&Isin=GB00BN71RY93&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D42,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
HSBC Global Strategy Balanced Portfolio C Inc,GB00B7PHDP01,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=%2B5NQ%2BB8bM6Y%3D&Isin=GB00B7PHDP01&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D43,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
HSBC World Selection Interest Income Portfolio C Inc,GB00B7KHQP68,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=nLhdelzQhQc%3D&Isin=GB00B7KHQP68&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D44,Invest in this fund within a SIPP or Investment Account
IFSL Church House Balanced Equity Income B Inc,GB00BNBNRB88,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=cGn46luYodk%3D&Isin=GB00BNBNRB88&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D45,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
IFSL Marlborough Nano-Cap Growth P Acc,GB00BF2ZV048,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=19xH9%2B%2BaCAA%3D&Isin=GB00BF2ZV048&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D46,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Impax Environmental Leaders X Inc GBP,IE00BYQNSG20,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=PgRivTzTkvo%3D&Isin=IE00BYQNSG20&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D47,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Invesco Summit Growth 1 (UK) Z Acc,GB00BYZHL112,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=%2FWsQQEuGeAw%3D&Isin=GB00BYZHL112&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D48,Invest in this fund within a SIPP or Investment Account
JOHCM UK Dynamic S1p Acc GBP,GB00BJ7HNB87,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=GfDg6xaTj0s%3D&Isin=GB00BJ7HNB87&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D52,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
JPM Global Healthcare C Acc USD Dis NAV GBP,LU0847330163,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=CZ%2Fdm37hTww%3D&Isin=LU0847330163&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D53,Invest in this fund within a SIPP or Investment Account
JPM UK Government Bond C Acc,GB00BJRDD272,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=WzGr9ke5qC0%3D&Isin=GB00BJRDD272&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D54,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Janus Henderson Fixed Interest Monthly Income I Inc,GB00B7GSYN71,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=EQsTaBWRKNw%3D&Isin=GB00B7GSYN71&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D50,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Janus Henderson Multi-Manager Income & Growth I Acc,GB00BFDTFW55,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=oby2U5HGefc%3D&Isin=GB00BFDTFW55&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D51,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Jupiter Global Macro Bond I Acc GBP,GB00B1XG8G39,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=zPGyF%2FPd09U%3D&Isin=GB00B1XG8G39&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D55,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Jupiter UK Income I Inc,GB00B6QR2553,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=D1WVxuTvO7E%3D&Isin=GB00B6QR2553&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D56,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
L&G FW ESG Tilted and Optimised Europe Ex UK Index C Dist GBP,GB00BL693Z31,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=78B%2FaeuNcAk%3D&Isin=GB00BL693Z31&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D57,Invest in this fund within a SIPP or Investment Account
L&G Mixed Investment 20-60% I Acc,GB00BMHTPP34,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=s2CdvQd98zQ%3D&Isin=GB00BMHTPP34&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D58,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
L&G UK Equity Income I Inc,GB00B56B1J72,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=KnX6JDNavrY%3D&Isin=GB00B56B1J72&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D59,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Lazard Global Convertibles Recovery C Acc GBP,IE00BLD0YS98,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=j%2Fze4njVCow%3D&Isin=IE00BLD0YS98&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D60,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Liontrust Global Alpha C Acc,GB0031190555,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=idPXRq8xvSU%3D&Isin=GB0031190555&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D61,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Liontrust MA Monthly High Income S Acc,GB00BCZW5S72,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=n6Flxpn5oso%3D&Isin=GB00BCZW5S72&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D62,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
M&G (Lux) Global Listed Infrastructure C Dis GBP,LU1665238850,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=Fd4UHQFWhbA%3D&Isin=LU1665238850&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D63,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
M&G Income and Growth I Acc GBP,GB00B4QHRP64,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=LLVH4hjdxV4%3D&Isin=GB00B4QHRP64&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D64,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
MFS Meridian Emerging Markets Debt Local Currency WH1 GBP,LU1164707306,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=TQn2kb65MYk%3D&Isin=LU1164707306&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D66,Invest in this fund within a SIPP or Investment Account
MGTS Attivo Investments Diversified 90-100 R Acc,GB00BMW96N34,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=VCaDRv2lcXU%3D&Isin=GB00BMW96N34&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D67,Invest in this fund within a SIPP or Investment Account
MGTS Progeny Systematic ProFolio 80 Acc GBP,GB00BS5WKL74,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=VWzwH%2Fv9NM8%3D&Isin=GB00BS5WKL74&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D68,Invest in this fund within a SIPP or Investment Account
